Text,Sentiment
#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :),Positive
@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!,Positive
@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!,Positive
@97sides CONGRATS :),Positive
yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days,Positive
"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM",Positive
We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI,Positive
"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying.",Neutral
"Jgh , but we have to go to Bayan :D bye",Neutral
"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p.",Neutral
#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :),Positive
Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY,Negative
@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Neutral
"@jjulieredburn Perfect, so you already know what's waiting for you :)",Positive
Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0,Positive
Laying out a greetings card range for print today - love my job :-),Positive
"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU.",Positive
@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,Positive
@oohdawg_ Hi liv :)),Neutral
Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7,Positive
#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :),Positive
"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)",Positive
@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :)),Positive
Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301,Positive
💅🏽💋 - :)))) haven't seen you in years,Neutral
